"","Date.x","DO","Alt","Month.x","dinflow","Month.y","JonesExp","BanksExpSWP","BanksExpCVP","Month","year","Date.y","FlowBin","OMRBin","BinNum","Date","Code","Wytype","Alt_name","Wytype_short","FlowBin_f","Wytype_f","MonthlyOMR","BinNum_f","totalEXP","dinflow_Minus_totalEXP_CFS","dinflow_Minus_totalEXP_percent","month","month_f"
"76",1932-05-30 16:00:00,26827.0925075242,"EXP1 090623",5,29089.1467313081,5,0,0,0,5,1932,1932-05-31,"medhi","NA",NA,1932-05-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medhi","CD",3066.9211920038,NA,0,29089.1467313081,0,5,"5"
"77",1932-06-29 16:00:00,4044.64467559637,"EXP1 090623",6,8035.0713741991,6,0,0,0,6,1932,1932-06-30,"NA","NA",NA,1932-06-30,5,"Critically Dry Years (40-30-30)","EXP1","CD",NA,"CD",810.803629273091,NA,0,8035.0713741991,0,6,"6"
"78",1932-12-30 16:00:00,11017.6959691885,"EXP1 090623",12,11209.9144248105,12,0,0,0,12,1932,1932-12-31,"lolo","NA",NA,1932-12-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","lolo","CD",342.065025387072,NA,0,11209.9144248105,0,12,"12"
"79",1933-01-30 16:00:00,22170.1947012997,"EXP1 090623",1,19836.8225390247,1,0,0,0,1,1933,1933-01-31,"medmed","NA",NA,1933-01-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medmed","CD",1665.52506085281,NA,0,19836.8225390247,0,1,"1"
"80",1933-02-27 16:00:00,19727.087312021,"EXP1 090623",2,19850.6381117268,2,0,0,0,2,1933,1933-02-28,"medlo","NA",NA,1933-02-28,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",912.993506030837,NA,0,19850.6381117268,0,2,"2"
"81",1933-03-30 16:00:00,22635.9302849186,"EXP1 090623",3,22752.7647622942,3,0,0,0,3,1933,1933-03-31,"medmed","NA",NA,1933-03-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medmed","CD",1086.38010820859,NA,0,22752.7647622942,0,3,"3"
"82",1933-04-29 16:00:00,12320.3245830943,"EXP1 090623",4,14338.7844879519,4,0,0,0,4,1933,1933-04-30,"lolo","NA",NA,1933-04-30,5,"Critically Dry Years (40-30-30)","EXP1","CD","lolo","CD",497.61649365695,NA,0,14338.7844879519,0,4,"4"
"83",1933-05-30 16:00:00,11748.5363038207,"EXP1 090623",5,13394.2445590098,5,0,0,0,5,1933,1933-05-31,"lolo","NA",NA,1933-05-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","lolo","CD",238.956959694944,NA,0,13394.2445590098,0,5,"5"
"84",1933-06-29 16:00:00,416.974489033985,"EXP1 090623",6,4459.93097670882,6,0,0,0,6,1933,1933-06-30,"NA","NA",NA,1933-06-30,5,"Critically Dry Years (40-30-30)","EXP1","CD",NA,"CD",-904.796523716958,NA,0,4459.93097670882,0,6,"6"
"85",1933-12-30 16:00:00,23510.7016503992,"EXP1 090623",12,22836.790754789,12,0,0,0,12,1933,1933-12-31,"medlo","NA",NA,1933-12-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",697.170607069863,NA,0,22836.790754789,0,12,"12"
