"","Date","JonesExp","BanksExpSWP","BanksExpCVP","Alt"
"285",1945-06-30,"0","0","0","EXP1 090623"
"286",1945-07-31,"0","0","0","EXP1 090623"
"287",1945-08-31,"0","0","0","EXP1 090623"
"288",1945-09-30,"0","0","0","EXP1 090623"
"289",1945-10-31,"0","0","0","EXP1 090623"
"290",1945-11-30,"0","0","0","EXP1 090623"
"291",1945-12-31,"0","0","0","EXP1 090623"
"292",1946-01-31,"0","0","0","EXP1 090623"
"293",1946-02-28,"0","0","0","EXP1 090623"
"294",1946-03-31,"0","0","0","EXP1 090623"
"295",1946-04-30,"0","0","0","EXP1 090623"
"296",1946-05-31,"0","0","0","EXP1 090623"
"297",1946-06-30,"0","0","0","EXP1 090623"
"298",1946-07-31,"0","0","0","EXP1 090623"
"299",1946-08-31,"0","0","0","EXP1 090623"
"300",1946-09-30,"0","0","0","EXP1 090623"
"301",1946-10-31,"0","0","0","EXP1 090623"
"302",1946-11-30,"0","0","0","EXP1 090623"
"303",1946-12-31,"0","0","0","EXP1 090623"
"304",1947-01-31,"0","0","0","EXP1 090623"
"305",1947-02-28,"0","0","0","EXP1 090623"
"306",1947-03-31,"0","0","0","EXP1 090623"
"307",1947-04-30,"0","0","0","EXP1 090623"
"308",1947-05-31,"0","0","0","EXP1 090623"
"309",1947-06-30,"0","0","0","EXP1 090623"
"310",1947-07-31,"0","0","0","EXP1 090623"
"311",1947-08-31,"0","0","0","EXP1 090623"
"312",1947-09-30,"0","0","0","EXP1 090623"
"313",1947-10-31,"0","0","0","EXP1 090623"
"314",1947-11-30,"0","0","0","EXP1 090623"
"315",1947-12-31,"0","0","0","EXP1 090623"
"316",1948-01-31,"0","0","0","EXP1 090623"
"317",1948-02-29,"0","0","0","EXP1 090623"
"318",1948-03-31,"0","0","0","EXP1 090623"
"319",1948-04-30,"0","0","0","EXP1 090623"
"320",1948-05-31,"0","0","0","EXP1 090623"
"321",1948-06-30,"0","0","0","EXP1 090623"
"322",1948-07-31,"0","0","0","EXP1 090623"
"323",1948-08-31,"0","0","0","EXP1 090623"
"324",1948-09-30,"0","0","0","EXP1 090623"
"325",1948-10-31,"0","0","0","EXP1 090623"
"326",1948-11-30,"0","0","0","EXP1 090623"
"327",1948-12-31,"0","0","0","EXP1 090623"
"328",1949-01-31,"0","0","0","EXP1 090623"
"329",1949-02-28,"0","0","0","EXP1 090623"
"330",1949-03-31,"0","0","0","EXP1 090623"
"331",1949-04-30,"0","0","0","EXP1 090623"
"332",1949-05-31,"0","0","0","EXP1 090623"
"333",1949-06-30,"0","0","0","EXP1 090623"
"334",1949-07-31,"0","0","0","EXP1 090623"
"335",1949-08-31,"0","0","0","EXP1 090623"
"336",1949-09-30,"0","0","0","EXP1 090623"
"337",1949-10-31,"0","0","0","EXP1 090623"
"338",1949-11-30,"0","0","0","EXP1 090623"
"339",1949-12-31,"0","0","0","EXP1 090623"
"340",1950-01-31,"0","0","0","EXP1 090623"
"341",1950-02-28,"0","0","0","EXP1 090623"
"342",1950-03-31,"0","0","0","EXP1 090623"
"343",1950-04-30,"0","0","0","EXP1 090623"
"344",1950-05-31,"0","0","0","EXP1 090623"
"345",1950-06-30,"0","0","0","EXP1 090623"
"346",1950-07-31,"0","0","0","EXP1 090623"
"347",1950-08-31,"0","0","0","EXP1 090623"
"348",1950-09-30,"0","0","0","EXP1 090623"
"349",1950-10-31,"0","0","0","EXP1 090623"
"350",1950-11-30,"0","0","0","EXP1 090623"
"351",1950-12-31,"0","0","0","EXP1 090623"
"352",1951-01-31,"0","0","0","EXP1 090623"
"353",1951-02-28,"0","0","0","EXP1 090623"
"354",1951-03-31,"0","0","0","EXP1 090623"
"355",1951-04-30,"0","0","0","EXP1 090623"
"356",1951-05-31,"0","0","0","EXP1 090623"
"357",1951-06-30,"0","0","0","EXP1 090623"
