"","Date","JonesExp","BanksExpSWP","BanksExpCVP","Alt"
"261",1943-06-30,"0","0","0","EXP1 071323"
"262",1943-07-31,"0","0","0","EXP1 071323"
"263",1943-08-31,"0","0","0","EXP1 071323"
"264",1943-09-30,"0","0","0","EXP1 071323"
"265",1943-10-31,"0","0","0","EXP1 071323"
"266",1943-11-30,"0","0","0","EXP1 071323"
"267",1943-12-31,"0","0","0","EXP1 071323"
"268",1944-01-31,"0","0","0","EXP1 071323"
"269",1944-02-29,"0","0","0","EXP1 071323"
"270",1944-03-31,"0","0","0","EXP1 071323"
"271",1944-04-30,"0","0","0","EXP1 071323"
"272",1944-05-31,"0","0","0","EXP1 071323"
"273",1944-06-30,"0","0","0","EXP1 071323"
"274",1944-07-31,"0","0","0","EXP1 071323"
"275",1944-08-31,"0","0","0","EXP1 071323"
"276",1944-09-30,"0","0","0","EXP1 071323"
"277",1944-10-31,"0","0","0","EXP1 071323"
"278",1944-11-30,"0","0","0","EXP1 071323"
"279",1944-12-31,"0","0","0","EXP1 071323"
"280",1945-01-31,"0","0","0","EXP1 071323"
"281",1945-02-28,"0","0","0","EXP1 071323"
"282",1945-03-31,"0","0","0","EXP1 071323"
"283",1945-04-30,"0","0","0","EXP1 071323"
"284",1945-05-31,"0","0","0","EXP1 071323"
"285",1945-06-30,"0","0","0","EXP1 071323"
"286",1945-07-31,"0","0","0","EXP1 071323"
"287",1945-08-31,"0","0","0","EXP1 071323"
"288",1945-09-30,"0","0","0","EXP1 071323"
"289",1945-10-31,"0","0","0","EXP1 071323"
"290",1945-11-30,"0","0","0","EXP1 071323"
"291",1945-12-31,"0","0","0","EXP1 071323"
"292",1946-01-31,"0","0","0","EXP1 071323"
"293",1946-02-28,"0","0","0","EXP1 071323"
"294",1946-03-31,"0","0","0","EXP1 071323"
"295",1946-04-30,"0","0","0","EXP1 071323"
"296",1946-05-31,"0","0","0","EXP1 071323"
"297",1946-06-30,"0","0","0","EXP1 071323"
"298",1946-07-31,"0","0","0","EXP1 071323"
"299",1946-08-31,"0","0","0","EXP1 071323"
"300",1946-09-30,"0","0","0","EXP1 071323"
"301",1946-10-31,"0","0","0","EXP1 071323"
"302",1946-11-30,"0","0","0","EXP1 071323"
"303",1946-12-31,"0","0","0","EXP1 071323"
"304",1947-01-31,"0","0","0","EXP1 071323"
"305",1947-02-28,"0","0","0","EXP1 071323"
"306",1947-03-31,"0","0","0","EXP1 071323"
"307",1947-04-30,"0","0","0","EXP1 071323"
"308",1947-05-31,"0","0","0","EXP1 071323"
"309",1947-06-30,"0","0","0","EXP1 071323"
"310",1947-07-31,"0","0","0","EXP1 071323"
"311",1947-08-31,"0","0","0","EXP1 071323"
"312",1947-09-30,"0","0","0","EXP1 071323"
"313",1947-10-31,"0","0","0","EXP1 071323"
"314",1947-11-30,"0","0","0","EXP1 071323"
"315",1947-12-31,"0","0","0","EXP1 071323"
"316",1948-01-31,"0","0","0","EXP1 071323"
"317",1948-02-29,"0","0","0","EXP1 071323"
"318",1948-03-31,"0","0","0","EXP1 071323"
"319",1948-04-30,"0","0","0","EXP1 071323"
"320",1948-05-31,"0","0","0","EXP1 071323"
"321",1948-06-30,"0","0","0","EXP1 071323"
"322",1948-07-31,"0","0","0","EXP1 071323"
"323",1948-08-31,"0","0","0","EXP1 071323"
"324",1948-09-30,"0","0","0","EXP1 071323"
"325",1948-10-31,"0","0","0","EXP1 071323"
"326",1948-11-30,"0","0","0","EXP1 071323"
"327",1948-12-31,"0","0","0","EXP1 071323"
"328",1949-01-31,"0","0","0","EXP1 071323"
"329",1949-02-28,"0","0","0","EXP1 071323"
"330",1949-03-31,"0","0","0","EXP1 071323"
"331",1949-04-30,"0","0","0","EXP1 071323"
"332",1949-05-31,"0","0","0","EXP1 071323"
"333",1949-06-30,"0","0","0","EXP1 071323"
"334",1949-07-31,"0","0","0","EXP1 071323"
"335",1949-08-31,"0","0","0","EXP1 071323"
"336",1949-09-30,"0","0","0","EXP1 071323"
"337",1949-10-31,"0","0","0","EXP1 071323"
