"","Date","DO","Alt"
"281",1945-02-28,"97393.07399473073","EXP1 071323"
"282",1945-03-31,"47373.845605694092","EXP1 071323"
"283",1945-04-30,"28301.655201214537","EXP1 071323"
"284",1945-05-31,"19644.816497524473","EXP1 071323"
"285",1945-06-30,"6032.9668474181908","EXP1 071323"
"286",1945-07-31,"0","EXP1 071323"
"287",1945-08-31,"0","EXP1 071323"
"288",1945-09-30,"3055.296966442113","EXP1 071323"
"289",1945-10-31,"12741.369637144055","EXP1 071323"
"290",1945-11-30,"22308.333583185471","EXP1 071323"
"291",1945-12-31,"109345.53711496142","EXP1 071323"
"292",1946-01-31,"70759.018998562926","EXP1 071323"
"293",1946-02-28,"36685.314151821032","EXP1 071323"
"294",1946-03-31,"38590.878963165975","EXP1 071323"
"295",1946-04-30,"33234.747104341208","EXP1 071323"
"296",1946-05-31,"12883.126251158963","EXP1 071323"
"297",1946-06-30,"1914.5451070496554","EXP1 071323"
"298",1946-07-31,"0","EXP1 071323"
"299",1946-08-31,"0","EXP1 071323"
"300",1946-09-30,"3717.2743451049855","EXP1 071323"
"301",1946-10-31,"4144.1020354957673","EXP1 071323"
"302",1946-11-30,"13614.157047144719","EXP1 071323"
"303",1946-12-31,"19788.077591193323","EXP1 071323"
"304",1947-01-31,"10590.231159666775","EXP1 071323"
"305",1947-02-28,"29100.918565111675","EXP1 071323"
"306",1947-03-31,"36315.952449457298","EXP1 071323"
"307",1947-04-30,"18057.661217152319","EXP1 071323"
"308",1947-05-31,"2966.0780903852428","EXP1 071323"
"309",1947-06-30,"806.16355553732944","EXP1 071323"
"310",1947-07-31,"0","EXP1 071323"
"311",1947-08-31,"0","EXP1 071323"
"312",1947-09-30,"1801.9953607772018","EXP1 071323"
"313",1947-10-31,"10197.879805307071","EXP1 071323"
"314",1947-11-30,"8885.0671906968892","EXP1 071323"
"315",1947-12-31,"7045.707602367037","EXP1 071323"
"316",1948-01-31,"25691.228843264005","EXP1 071323"
"317",1948-02-29,"14593.628397860677","EXP1 071323"
"318",1948-03-31,"29294.869413454995","EXP1 071323"
"319",1948-04-30,"65526.272527101602","EXP1 071323"
"320",1948-05-31,"40482.427665838564","EXP1 071323"
"321",1948-06-30,"13422.331026290518","EXP1 071323"
"322",1948-07-31,"0","EXP1 071323"
"323",1948-08-31,"0","EXP1 071323"
"324",1948-09-30,"4410.5798674831585","EXP1 071323"
"325",1948-10-31,"4609.1425640291218","EXP1 071323"
"326",1948-11-30,"5610.18296690437","EXP1 071323"
"327",1948-12-31,"14712.484098440817","EXP1 071323"
"328",1949-01-31,"11733.283980701326","EXP1 071323"
"329",1949-02-28,"21669.859057817244","EXP1 071323"
"330",1949-03-31,"70044.844029962042","EXP1 071323"
"331",1949-04-30,"24209.633360435084","EXP1 071323"
"332",1949-05-31,"11054.754467210514","EXP1 071323"
"333",1949-06-30,"0","EXP1 071323"
"334",1949-07-31,"0","EXP1 071323"
"335",1949-08-31,"0","EXP1 071323"
"336",1949-09-30,"1798.4719657425674","EXP1 071323"
"337",1949-10-31,"1282.3586572743234","EXP1 071323"
"338",1949-11-30,"4177.6671561164203","EXP1 071323"
"339",1949-12-31,"6342.7468341895556","EXP1 071323"
"340",1950-01-31,"44843.027562213312","EXP1 071323"
"341",1950-02-28,"66001.635668183459","EXP1 071323"
"342",1950-03-31,"36256.434294887338","EXP1 071323"
"343",1950-04-30,"35772.582397889993","EXP1 071323"
"344",1950-05-31,"15591.420869752521","EXP1 071323"
"345",1950-06-30,"3208.9643956678328","EXP1 071323"
"346",1950-07-31,"0","EXP1 071323"
"347",1950-08-31,"0","EXP1 071323"
"348",1950-09-30,"3756.5698351466754","EXP1 071323"
"349",1950-10-31,"17435.334036811946","EXP1 071323"
"350",1950-11-30,"72566.78343716581","EXP1 071323"
"351",1950-12-31,"141767.94130963119","EXP1 071323"
"352",1951-01-31,"96102.196148354953","EXP1 071323"
"353",1951-02-28,"88129.964120093311","EXP1 071323"
"354",1951-03-31,"51949.610836685366","EXP1 071323"
"355",1951-04-30,"19898.118481171819","EXP1 071323"
"356",1951-05-31,"19708.50532679123","EXP1 071323"
"357",1951-06-30,"1813.5879475818679","EXP1 071323"
"358",1951-07-31,"0","EXP1 071323"
"359",1951-08-31,"0","EXP1 071323"
"360",1951-09-30,"3013.1270317057492","EXP1 071323"
"361",1951-10-31,"9271.1034961681562","EXP1 071323"
"362",1951-11-30,"16504.033536817671","EXP1 071323"
"363",1951-12-31,"75363.378854888637","EXP1 071323"
"364",1952-01-31,"129920.84995579443","EXP1 071323"
"365",1952-02-29,"112244.04574821443","EXP1 071323"
"366",1952-03-31,"100238.26002261038","EXP1 071323"
"367",1952-04-30,"81157.790975615528","EXP1 071323"
"368",1952-05-31,"69049.674680485507","EXP1 071323"
"369",1952-06-30,"30698.272532632345","EXP1 071323"
"370",1952-07-31,"4726.8320092998501","EXP1 071323"
"371",1952-08-31,"3620.0592344162437","EXP1 071323"
"372",1952-09-30,"8525.2077810700976","EXP1 071323"
"373",1952-10-31,"5959.7560600574798","EXP1 071323"
"374",1952-11-30,"8860.119306855855","EXP1 071323"
"375",1952-12-31,"52642.822753048269","EXP1 071323"
"376",1953-01-31,"109342.21159768252","EXP1 071323"
"377",1953-02-28,"38964.291959897368","EXP1 071323"
"378",1953-03-31,"32098.90904752415","EXP1 071323"
"379",1953-04-30,"36369.176427612503","EXP1 071323"
"380",1953-05-31,"30910.228763694111","EXP1 071323"
"381",1953-06-30,"17887.563803340552","EXP1 071323"
"382",1953-07-31,"499.99999999999966","EXP1 071323"
"383",1953-08-31,"2189.1218215481181","EXP1 071323"
"384",1953-09-30,"6855.5890300492811","EXP1 071323"
"385",1953-10-31,"6154.0625486258632","EXP1 071323"
"386",1953-11-30,"11469.745934605502","EXP1 071323"
